DQO,DBO,fallo
47.8383666666667,2.0337228893732,1
47.8383666666667,2.0337228893732,1
47.8383666666667,2.0337228893732,1
47.8383666666666,2.03372288937321,1
47.8383666666664,2.03372288937322,1
47.8383666666655,2.03372288937328,1
47.8383666666606,2.03372288937357,1
47.8383666666362,2.03372288937506,1
47.8383666665142,2.03372288938246,1
47.8383666659043,2.03372288941949,1
47.8383666628547,2.03372288960462,1
47.8383666476067,2.03372289053029,1
47.8383665713664,2.03372289515858,1
47.8383661901486,2.03372291829846,1
47.8383642835239,2.03372303394574,1
47.8383547202107,2.03372360922871,1
47.838316981261,2.03372565239111,1
47.8382499651772,2.03372777453888,1
47.8381249493612,2.03372734638056,1
47.8378892122518,2.03371907043177,1
47.8374614825123,2.03369495947519,1
47.8367359815036,2.03364471382075,1
47.8355902905431,2.0335564926038,1
47.834112053523,2.03343593558388,1
47.8323132867149,2.03328435224964,1
47.8301972492617,2.03310233681272,1
47.8277565232796,2.03288950059054,1
47.8249714465262,2.032644313772,1
47.8217946376639,2.03236272970226,1
47.8181763652671,2.03204042823172,1
47.8140643127301,2.03167283411874,1
47.8093923497109,2.03125412903751,1
47.8040755159791,2.03077680142009,1
47.798000483858,2.03023078711633,1
47.791632990897,2.02965810883147,1
47.7834801189146,2.02892459649868,1
47.7740317930525,2.02807440780995,1
47.7626131773057,2.02704692519837,1
47.7490082581497,2.02582280577336,1
47.7341376284094,2.02448493615735,1
47.7286363447968,2.0239900317424,1
47.7103866783194,2.02234835115274,1
47.6924951225387,2.02073896706869,1
47.6725639516352,2.01894613444351,1
47.6667170995583,2.01842019589387,1
47.6421219456024,2.01620770808253,1
47.6199719375565,2.01421497053648,1
47.6058487050099,2.01294422460962,1
47.5861676924201,2.0111731875977,1
47.5679550200607,2.00953400920074,1
47.5506038436292,2.00797208946113,1
47.545950388842,2.00755314442821,1
47.5273015931246,2.00587398794632,1
47.5111961411514,2.00442352531214,1
47.4949194838092,2.00295732920761,1
47.4869556499867,2.00223982842601,1
47.4738875399636,2.00106227839331,1
47.4608612104091,1.99988826240341,1
47.4484841353465,1.99877253981265,1
47.4380702229313,1.99783361235461,1
47.4288090381566,1.99699847950561,1
47.4189487469974,1.99610917736994,1
47.4091116697319,1.99522181690664,1
47.3989867475035,1.99430832886402,1
47.3873616992206,1.99325928875567,1
47.3747466430235,1.99212065243512,1
47.3714642443005,1.99182433780922,1
47.3571770660872,1.99053435888472,1
47.3449482653495,1.98942993816653,1
47.3341985578967,1.98845887177936,1
47.3230210115428,1.98744892682997,1
47.3148828294201,1.98671345287442,1
47.3011051721689,1.9854680274433,1
47.2881812399542,1.98429943194967,1
47.2751207707768,1.98311814699,1
47.2623414184376,1.9819619472049,1
47.2590332329244,1.98166258647637,1
47.2460321346814,1.98048587981376,1
47.2312869132555,1.97915087426923,1
47.2142743763344,1.97760999527832,1
47.2038899114342,1.97666912256895,1
47.1912181355063,1.97552067740554,1
47.1785829130842,1.9743751750924,1
47.1646398992803,1.97311067374506,1
47.1494325488025,1.97173097985434,1
47.1334598260508,1.97028124320365,1
47.1196704160563,1.96902916555947,1
47.105422363204,1.96773494354419,1
47.0956453212733,1.96684654832484,1
47.0810703015838,1.96552172747263,1
47.0653091999834,1.96408847457639,1
47.0475720783892,1.96247474685765,1
47.0425162157745,1.96201460956004,1
47.022425171341,1.96018542870466,1
47.0050773206687,1.95860511364064,1
46.9900364036999,1.95723427550438,1
46.9810711581729,1.95641687477832,1
46.9721232884254,1.95560081994663,1
46.9583197688571,1.95434142692266,1
46.9381536663731,1.95250040326939,1
46.9172637464663,1.95059186428742,1
46.9001912065521,1.94903099267519,1
46.8867553164415,1.94780190717869,1
46.8724203372536,1.94648989345787,1
46.8581229990047,1.9451806202894,1
46.8428907120911,1.94378495117958,1
46.8358341556813,1.94313811578587,1
46.8194565245409,1.94163619891338,1
46.8060617426689,1.94040712592632,1
46.7910147222776,1.93902569310234,1
46.7853943257985,1.93850949171767,1
46.7682993123612,1.93693872229747,1
46.7501214463367,1.93526731134156,1
46.7354405469999,1.93391657289187,1
46.7248272300567,1.93293959494506,1
46.7142363941329,1.93196428040254,1
46.7038818450676,1.93101033221777,1
46.6944759996317,1.93014344838833,1
46.6859778056923,1.92935994000553,1
46.6757616419352,1.92841768992671,1
46.6673308281349,1.9276398164432,1
46.6574019324617,1.92672338610953,1
46.6463579711187,1.92570360843719,1
46.6370111292558,1.92484018665664,1
46.6243383440402,1.92366901019976,1
46.6088348423072,1.92223541465904,1
