SNO,SNH,fallo
9.1948,0.1585,1
9.1948,0.1585,1
9.1948,0.1585,1
9.1948,0.1585,1
9.1948,0.1585,1
9.1948,0.1585,1
9.1948,0.1585,1
9.1948,0.1585,1
9.1948,0.1585,1
9.1948,0.1585,1
9.1948,0.1585,1
9.1948,0.1585,1
9.1948,0.1585,1
9.1948,0.1585,1
9.1948,0.1585,1
9.1948,0.1585,1
9.1948,0.1585,1
9.1948,0.1585,1
9.1948,0.1585,1
9.1948,0.1585,1
9.1948,0.1585,1
9.1948,0.1585,1
9.1948,0.1585,1
9.19479999999999,0.1585,1
9.19479999999997,0.158500000000001,1
9.19479999999994,0.158500000000002,1
9.19479999999989,0.158500000000004,1
9.19479999999981,0.158500000000007,1
9.19479999999967,0.158500000000012,1
9.19479999999945,0.158500000000019,1
9.1947999999991,0.158500000000032,1
9.19479999999852,0.158500000000053,1
9.19479999999757,0.158500000000087,1
9.19479999999596,0.158500000000144,1
9.19479999999349,0.158500000000233,1
9.19479999998873,0.158500000000403,1
9.19479999998011,0.158500000000711,1
9.19479999996339,0.158500000001311,1
9.19479999993036,0.158500000002497,1
9.19479999987042,0.158500000004653,1
9.19479999983985,0.158500000005754,1
9.1947999996945,0.158500000011,1
9.19479999946381,0.158500000019353,1
9.19479999906012,0.158500000034032,1
9.19479999890413,0.158500000039721,1
9.1947999980041,0.158500000072697,1
9.19479999675711,0.158500000118721,1
9.19479999567959,0.158500000158737,1
9.19479999371696,0.158500000232103,1
9.19479999131705,0.158500000322506,1
9.19479998839494,0.15850000043342,1
9.1947999874905,0.158500000467913,1
9.19479998328131,0.15850000062932,1
9.1947999787946,0.158500000802757,1
9.19479997332758,0.158500001015718,1
9.19479997026989,0.15850000113551,1
9.19479996464903,0.15850000135685,1
9.19479995822942,0.158500001611243,1
9.19479995129614,0.158500001887681,1
9.19479994477491,0.158500002149115,1
9.19479993840526,0.158500002405675,1
9.1947999309911,0.158500002705666,1
9.19479992289978,0.158500003034576,1
9.19479991379706,0.158500003406322,1
9.19479990230719,0.158500003877907,1
9.19479988848724,0.158500004448234,1
9.19479988464711,0.158500004607261,1
9.19479986668277,0.158500005354089,1
9.19479984959317,0.158500006068555,1
9.19479983316706,0.158500006758538,1
9.1947998146011,0.158500007541841,1
9.19479980007559,0.158500008156973,1
9.19479977342787,0.158500009290154,1
9.19479974593027,0.158500010465123,1
9.19479971550654,0.158500011770949,1
9.19479968299889,0.15850001317211,1
9.19479967412042,0.158500013555748,1
9.19479963729304,0.158500015150974,1
9.19479959160047,0.158500017138003,1
9.19479953332288,0.158500019682812,1
9.19479949462889,0.158500021377929,1
9.19479944400999,0.158500023600984,1
9.19479938961498,0.158500025995791,1
9.19479932478279,0.158500028856685,1
9.19479924797633,0.158500032253318,1
9.19479916002265,0.158500036150278,1
9.19479907772193,0.158500039801836,1
9.19479898612003,0.158500043869821,1
9.19479891921357,0.158500046842568,1
9.19479881305434,0.158500051560295,1
9.19479868917515,0.158500057064583,1
9.19479853781447,0.158500063784991,1
9.19479849224585,0.15850006580662,1
9.19479830000284,0.158500074324368,1
9.19479811895945,0.158500082325999,1
9.19479795003781,0.158500089771114,1
9.19479784383507,0.158500094440527,1
9.19479773361208,0.158500099276723,1
9.1947975550958,0.158500107086578,1
9.1947972751037,0.158500119275275,1
9.19479695981867,0.158500132905727,1
9.19479668205535,0.1585001448263,1
9.19479645017082,0.158500154712505,1
9.19479618936352,0.158500165758679,1
9.19479591496576,0.158500177295038,1
9.19479560637036,0.15850019016249,1
9.19479545755841,0.158500196326576,1
9.19479509746479,0.158500211130904,1
9.19479478722869,0.158500223757728,1
9.1947944212733,0.158500238498839,1
9.19479427972432,0.158500244155746,1
9.19479383250614,0.158500261863147,1
9.19479332860841,0.158500281512203,1
9.19479289957217,0.15850029798818,1
9.19479257675848,0.158500310230506,1
9.19479224379497,0.158500322718517,1
9.19479190758212,0.158500335184745,1
9.1947915928449,0.158500346723758,1
9.19479130070659,0.158500357320872,1
9.194790939573,0.15850037026983,1
9.19479063324337,0.158500381122903,1
9.19479026268389,0.158500394091131,1
9.19478983784272,0.158500408742873,1
9.19478946768056,0.158500421320698,1
9.19478894997873,0.158500438618055,1
9.19478829134726,0.158500460129364,1
