Qe,CODe,fallo
20941,47.8383666666667,0
20940.9999999999,47.8383666666667,0
20940.9999999994,47.8383666666667,0
20940.999999997,47.8383666666667,0
20940.9999999851,47.8383666666669,0
20940.9999999254,47.8383666666681,0
20940.9999996271,47.8383666666737,0
20940.9999981353,47.8383666667019,0
20940.9999906762,47.8383666668426,0
20940.9999533753,47.8383666675466,0
20940.9997667371,47.8383666710662,0
20940.9988301977,47.8383666886643,0
20940.994063811,47.8383667766543,0
20940.9681409564,47.8383672165871,0
20940.7864183937,47.8383694157091,0
20938.5955089432,47.8383803830081,0
20910.679612824,47.8384220100677,0
20817.4567129226,47.8384754733819,0
20613.2050185627,47.8385153551475,0
20269.506715183,47.8384881036049,0
19782.3269776132,47.8383134125443,0
19172.5499267962,47.8378878606282,0
18480.8180762848,47.8370926320124,0
17834.3304722135,47.8359645267283,0
17259.4804085165,47.8345235333839,0
16760.9272712382,47.8327782902769,0
16336.5127147248,47.8307282185354,0
15981.1289493825,47.8283612326003,0
15688.01437698,47.8256451734537,0
15451.1193334244,47.8225345293769,0
15265.5607208587,47.8189867873958,0
15125.5437907732,47.814947139393,0
15024.5417911476,47.8103453125847,0
14955.4962013398,47.8050879500725,0
14910.0313170494,47.7988240263044,0
14884.2027063518,47.7918295056297,0
14869.7440528115,47.7835566143123,0
14861.9493126027,47.7736890792873,0
14857.339208321,47.7622494506899,0
14853.611598944,47.7491765266796,0
14851.896005593,47.7427268071005,0
14847.5913102782,47.7267216707771,0
14843.0892749337,47.7107478435112,0
14837.8368261279,47.6929892790483,0
14836.1440017815,47.6874287114918,0
14829.2329791863,47.6653655667416,0
14822.9047403937,47.6458668618078,0
14818.6076321657,47.6329189678553,0
14812.4816139731,47.614785315333,0
14806.9389287466,47.5986484011583,0
14801.464671486,47.5829175232248,0
14800.1377762494,47.5791316412648,0
14794.1945585504,47.5622888782627,0
14789.0461285859,47.5478333777585,0
14783.7998288873,47.5332149355237,0
14781.2020425112,47.5260140502717,0
14776.9465877827,47.5142674967981,0
14772.6816395612,47.5025516209237,0
14768.620445797,47.4914442774096,0
14765.2245693008,47.4821906606152,0
14762.0341442407,47.473523553163,0
14758.7197367519,47.4645456278101,0
14755.4024146722,47.4555851035021,0
14752.0194997596,47.4464723191358,0
14748.1139249934,47.4359815473909,0
14743.8575420619,47.4245834210716,0
14742.7508774131,47.4216256707913,0
14737.9050203436,47.4087014352604,0
14733.7421716388,47.3976330597596,0
14730.0809324651,47.38792362459,0
14726.2373798614,47.3777553784369,0
14723.4106278256,47.3702928616712,0
14718.6544624926,47.3577661789351,0
14714.1769384472,47.3460063267906,0
14709.6388873622,47.3341193530407,0
14705.1876607219,47.3224903218211,0
14704.0425874079,47.3195035846119,0
14699.5086342196,47.3076966227009,0
14694.3510076326,47.2943021955088,0
14688.3791828494,47.2788412501807,0
14684.6613473903,47.2692414963188,0
14680.1834540062,47.2577050562517,0
14675.7053145694,47.2461959798799,0
14670.7486915101,47.2334895416819,0
14665.2741902427,47.2194947215629,0
14659.5578773122,47.2049253455801,0
14654.6033907443,47.1923334734088,0
14649.4736670031,47.1793310898793,0
14645.8847356948,47.1702551780641,0
14640.624225195,47.1569832178018,0
14634.913520229,47.142617240449,0
14628.4624771258,47.1264410490494,0
14626.4947653947,47.1215179526456,0
14619.1569290744,47.103204412507,0
14612.7813329194,47.0873503301863,0
14607.1051374162,47.0732807300479,0
14603.3400314165,47.065018823899,0
14598.2776415332,47.056770122221,0
14588.9596981874,47.0440536201248,0
14574.3117108642,47.0254974285187,0
14558.9611794637,47.0063541689976,0
14546.3308154105,46.9907020801442,0
14536.1176200992,46.9780612017993,0
14525.4735583237,46.9649066908387,0
14514.8303491438,46.9517791301594,0
14503.4821209012,46.9378116196649,0
14497.9141933678,46.9309698676719,0
14485.7169130807,46.9160083036223,0
14475.6791952171,46.9037228841234,0
14464.3752460705,46.8899172660792,0
14459.7127941434,46.8842321486876,0
14446.840289105,46.868564185717,0
14433.0502846872,46.8518254054406,0
14421.5122796516,46.8378569859708,0
14413.4395787412,46.8281038974854,0
14405.3669143748,46.8183674808814,0
14397.524132776,46.8089243281917,0
14390.2478226041,46.8001774100053,0
14383.312595198,46.7918532626424,0
14375.3969606084,46.7823676381184,0
14368.8335891596,46.7745148864424,0
14361.279463565,46.7654907222531,0
14352.7954471701,46.7553736185361,0
14345.1136838308,46.746229610355,0
14335.3014008142,46.7345723336416,0
14323.2305492365,46.7202670859041,0
14310.8534995621,46.7056396114951,0
14306.9154889073,46.7009942555745,0
14298.3736030376,46.6909325270657,0
14289.831749673,46.6808906859751,0
14281.3934698215,46.6709901755903,0
14273.2259413677,46.6614259304806,0
14268.71795602,46.6561549015631,0
14259.7196154612,46.6456502301983,0
14252.3955480047,46.6371166549301,0
14243.8999443544,46.6272367440203,0
14234.6468852353,46.6164988483275,0
14230.5210338383,46.6117186399641,0
14222.0342259737,46.6019008396931,0
14213.5474453736,46.5921033242661,0
14205.2885872791,46.5825884388833,0
14197.787405631,46.5739631823459,0
14192.3246743974,46.5676918872449,0
14184.3048624829,46.5585003971942,0
14176.2409920769,46.5492768933054,0
14167.7734554352,46.5396116734569,0
14158.8512940969,46.5294497517732,0
14154.1288330982,46.5240803426248,0
14143.9287422481,46.5125048069579,0
14134.7173616617,46.502077096174,0
14124.673226665,46.4907346391924,0
14115.9334685766,46.4808889643179,0
14108.384147588,46.4724022285626,0
14100.8348434369,46.4639321028262,0
14093.0213012424,46.4551830112204,0
14084.8722465396,46.4460772334603,0
14077.7385425152,46.4381219600594,0
14068.4138007197,46.4277457998292,0
14057.0368693365,46.4151206222209,0
14044.6454268293,46.4014129351743,0
14039.5440194363,46.395782789062,0
14030.8145423839,46.3864072435101,0
14021.4555303893,46.3770521508489,0
14010.0222434073,46.3659901286603,0
13997.3314785202,46.3538617840688,0
