Qe,TSS,fallo
20941,14.3255,1
20940.9999999999,14.3255,1
20940.9999999994,14.3255,1
20940.9999999969,14.3255,1
20940.9999999845,14.3254999999998,1
20940.9999999222,14.3254999999991,1
20940.9999996107,14.3254999999954,1
20940.9999980531,14.3254999999771,1
20940.9999902653,14.3254999998856,1
20940.9999513201,14.3254999994282,1
20940.9997564485,14.325499997141,1
20940.9987784407,14.3254999857051,1
20940.9937971731,14.3254999285248,1
20940.9666116267,14.3254996426115,1
20940.7738911582,14.3254982126429,1
20938.4136889615,14.325491040158,1
20909.6302965789,14.3254627359457,1
20814.3678356294,14.3254124738829,1
20606.85745167,14.3253187120209,1
20258.9908670346,14.3251419091888,1
19767.2934406676,14.3248211118842,1
19153.3226855627,14.3242769861277,1
18458.3688113475,14.3234177179073,1
17814.1455450551,14.3223090401422,1
17241.1418000491,14.3209599650362,1
16743.9681212489,14.3193729369462,1
16320.5269383956,14.3175423924596,1
15965.9458079196,14.3154535848946,1
15673.2896505239,14.3130709782478,1
15437.4470827354,14.3103572739501,1
15253.4645511023,14.3072732345471,1
15115.425019947,14.3037692622825,1
15016.5939920839,14.2997816369831,1
14949.6781930634,14.2952253628914,1
14910.0309669854,14.2904497431693,1
14883.566793519,14.28433508918,1
14869.3052825154,14.2772488447788,1
14861.5922586511,14.2686848829596,1
14856.9144476075,14.2584811935743,1
14853.2000899013,14.2473282212352,1
14851.8967074912,14.2432022585082,1
14847.5154821904,14.2295150085655,1
14843.0088259461,14.2160963415927,1
14837.7363452952,14.2011479631692,1
14836.1441001497,14.1967628240151,1
14829.2507841596,14.1783164579816,1
14822.8104918681,14.1617039511417,1
14818.6077890585,14.1511115260224,1
14812.644259192,14.1363507652644,1
14807.0289902384,14.1226912593549,1
14801.6042301973,14.1096778749987,1
14800.138051907,14.1061877832726,1
14794.2186352526,14.0922011834913,1
14789.0548278984,14.0801220912681,1
14783.7922684362,14.0679145942493,1
14781.2025292193,14.0619417166138,1
14776.9331131806,14.0521406298857,1
14772.6541527962,14.0423708778541,1
14768.568233434,14.0330880662426,1
14765.1158752885,14.0252776268825,1
14762.0349732608,14.0183317333279,1
14758.7440945652,14.0109365091214,1
14755.4503449407,14.0035586947483,1
14752.0494770805,13.9959649957883,1
14748.1316936368,13.9872462002912,1
14743.8649598808,13.9777848968617,1
14742.7522137019,13.9753230946641,1
14737.896776371,13.9646076961343,1
14733.7256317663,13.955436081281,1
14730.0476377359,13.9473737868176,1
14726.2121893067,13.9389906112312,1
14723.4126622716,13.932886962165,1
14718.6598914258,13.9225536961387,1
14714.1866445659,13.912860722899,1
14709.6515867875,13.9030653440992,1
14705.2001223829,13.89348080079,1
14704.0455284463,13.8909996536699,1
14699.4991017914,13.881248796651,1
14694.3256776871,13.8701898387689,1
14688.3343166303,13.8574303820854,1
14684.6654131961,13.8496419971819,1
14680.1763259554,13.8401381174179,1
14675.6870034076,13.8306616487134,1
14670.7177458744,13.820204325881,1
14665.2796020736,13.8087987381713,1
