Qe,CODe,fallo
20941,47.8383666666667,1
20940.9999999999,47.8383666666667,1
20940.9999999994,47.8383666666667,1
20940.9999999969,47.8383666666666,1
20940.9999999845,47.8383666666664,1
20940.9999999222,47.8383666666655,1
20940.9999996107,47.8383666666606,1
20940.9999980531,47.8383666666362,1
20940.9999902653,47.8383666665142,1
20940.9999513201,47.8383666659043,1
20940.9997564485,47.8383666628547,1
20940.9987784407,47.8383666476067,1
20940.9937971731,47.8383665713664,1
20940.9666116267,47.8383661901486,1
20940.7738911582,47.8383642835239,1
20938.4136889615,47.8383547202107,1
20909.6302965789,47.838316981261,1
20814.3678356294,47.8382499651772,1
20606.85745167,47.8381249493612,1
20258.9908670346,47.8378892122518,1
19767.2934406676,47.8374614825123,1
19153.3226855627,47.8367359815036,1
18458.3688113475,47.8355902905431,1
17814.1455450551,47.834112053523,1
17241.1418000491,47.8323132867149,1
16743.9681212489,47.8301972492617,1
16320.5269383956,47.8277565232796,1
15965.9458079196,47.8249714465262,1
15673.2896505239,47.8217946376639,1
15437.4470827354,47.8181763652671,1
15253.4645511023,47.8140643127301,1
15115.425019947,47.8093923497109,1
15016.5939920839,47.8040755159791,1
14949.6781930634,47.798000483858,1
14910.0309669854,47.791632990897,1
14883.566793519,47.7834801189146,1
14869.3052825154,47.7740317930525,1
14861.5922586511,47.7626131773057,1
14856.9144476075,47.7490082581497,1
14853.2000899013,47.7341376284094,1
14851.8967074912,47.7286363447968,1
14847.5154821904,47.7103866783194,1
14843.0088259461,47.6924951225387,1
14837.7363452952,47.6725639516352,1
14836.1441001497,47.6667170995583,1
14829.2507841596,47.6421219456024,1
14822.8104918681,47.6199719375565,1
14818.6077890585,47.6058487050099,1
14812.644259192,47.5861676924201,1
14807.0289902384,47.5679550200607,1
14801.6042301973,47.5506038436292,1
14800.138051907,47.545950388842,1
14794.2186352526,47.5273015931246,1
14789.0548278984,47.5111961411514,1
14783.7922684362,47.4949194838092,1
14781.2025292193,47.4869556499867,1
14776.9331131806,47.4738875399636,1
14772.6541527962,47.4608612104091,1
14768.568233434,47.4484841353465,1
14765.1158752885,47.4380702229313,1
14762.0349732608,47.4288090381566,1
14758.7440945652,47.4189487469974,1
14755.4503449407,47.4091116697319,1
14752.0494770805,47.3989867475035,1
14748.1316936368,47.3873616992206,1
14743.8649598808,47.3747466430235,1
14742.7522137019,47.3714642443005,1
14737.896776371,47.3571770660872,1
14733.7256317663,47.3449482653495,1
14730.0476377359,47.3341985578967,1
14726.2121893067,47.3230210115428,1
14723.4126622716,47.3148828294201,1
14718.6598914258,47.3011051721689,1
14714.1866445659,47.2881812399542,1
14709.6515867875,47.2751207707768,1
14705.2001223829,47.2623414184376,1
14704.0455284463,47.2590332329244,1
14699.4991017914,47.2460321346814,1
14694.3256776871,47.2312869132555,1
14688.3343166303,47.2142743763344,1
14684.6654131961,47.2038899114342,1
14680.1763259554,47.1912181355063,1
14675.6870034076,47.1785829130842,1
14670.7177458744,47.1646398992803,1
14665.2796020736,47.1494325488025,1
14659.5471948011,47.1334598260508,1
14654.5813631644,47.1196704160563,1
14649.4337790426,47.105422363204,1
14645.8917125969,47.0956453212733,1
14640.5965752366,47.0810703015838,1
14634.8504515427,47.0653091999834,1
14628.3588164346,47.0475720783892,1
14626.5035202377,47.0425162157745,1
14619.1093344342,47.022425171341,1
14612.6968001335,47.0050773206687,1
14607.1158741128,46.9900364036999,1
14603.3574438574,46.9810711581729,1
14598.3053475811,46.9721232884254,1
14588.9936523121,46.9583197688571,1
14574.3248425059,46.9381536663731,1
14558.8765135109,46.9172637464663,1
14546.1595360711,46.9001912065521,1
14536.1329929029,46.8867553164415,1
14525.4143699401,46.8724203372536,1
14514.6966842202,46.8581229990047,1
14503.2471282575,46.8428907120911,1
14497.9319867031,46.8358341556813,1
14485.5689465587,46.8194565245409,1
14475.4291756173,46.8060617426689,1
14464.007835845,46.7910147222776,1
14459.7332685791,46.7853943257985,1
14446.7032282731,46.7682993123612,1
14432.8002471885,46.7501214463367,1
14421.53557951,46.7354405469999,1
14413.3715494934,46.7248272300567,1
