Qe,TSS,fallo
20941,14.3255,0
20940.9999999999,14.3255,0
20940.9999999994,14.3255,0
20940.999999997,14.3255,0
20940.9999999851,14.3255000000002,0
20940.9999999254,14.3255000000011,0
20940.9999996271,14.3255000000053,0
20940.9999981353,14.3255000000264,0
20940.9999906762,14.325500000132,0
20940.9999533753,14.3255000006599,0
20940.9997667371,14.3255000032997,0
20940.9988301977,14.3255000164982,0
20940.994063811,14.3255000824907,0
20940.9681409564,14.3255004124403,0
20940.7864183937,14.3255020617818,0
20938.5955089432,14.325510287256,0
20910.679612824,14.3255415075508,0
20817.4567129226,14.3255816050364,0
20613.2050185627,14.3256115163606,0
20269.506715183,14.3255910777037,0
19782.3269776132,14.3254600594083,0
19172.5499267962,14.3251408954712,0
18480.8180762848,14.3245444740093,0
17834.3304722135,14.3236983950463,0
17259.4804085165,14.3226176500381,0
16760.9272712382,14.321308717708,0
16336.5127147248,14.3197711639021,0
15981.1289493825,14.3179959244511,0
15688.01437698,14.3159588800918,0
15451.1193334244,14.3136258970353,0
15265.5607208587,14.3109650905512,0
15125.5437907732,14.3079353545519,0
15024.5417911476,14.3044839844501,0
14955.4962013398,14.3005409625735,0
14910.0313170494,14.2958430197609,0
14884.2027063518,14.2905971292778,0
14869.7440528115,14.2843924608318,0
14861.9493126027,14.2769918096429,0
14857.339208321,14.2684120883461,0
14853.611598944,14.2586073956232,0
14851.896005593,14.2537701061388,0
14847.5913102782,14.2417662546247,0
14843.0892749337,14.2297858853533,0
14837.8368261279,14.2164669640718,0
14836.1440017815,14.212296539262,0
14829.2329791863,14.1957491854035,0
14822.9047403937,14.1811251631088,0
14818.6076321657,14.1714142484283,0
14812.4816139731,14.1578140197318,0
14806.9389287466,14.145711346742,0
14801.464671486,14.1339132040799,0
14800.1377762494,14.1310737969943,0
14794.1945585504,14.1184417473894,0
14789.0461285859,14.1076001460789,0
14783.7998288873,14.0966363438153,0
14781.2020425112,14.0912356964707,0
14776.9465877827,14.082425811745,0
14772.6816395612,14.0736389396212,0
14768.620445797,14.0653084695304,0
14765.2245693008,14.0583682919298,0
14762.0341442407,14.0518679974342,0
14758.7197367519,14.0451345944413,0
14755.4024146722,14.0384142461044,0
14752.0194997596,14.0315797078244,0
14748.1139249934,14.0237116923859,0
14743.8575420619,14.0151631741042,0
14742.7508774131,14.0129448826072,0
14737.9050203436,14.0032518057248,0
14733.7421716388,13.9949506192686,0
14730.0809324651,13.9876686343424,0
14726.2373798614,13.9800425540361,0
14723.4106278256,13.974445748903,0
14718.6544624926,13.9650508871729,0
14714.1769384472,13.9562311537098,0
14709.6388873622,13.9473160960892,0
14705.1876607219,13.938594507629,0
14704.0425874079,13.9363545049128,0
14699.5086342196,13.9274994931907,0
14694.3510076326,13.9174539337139,0
14688.3791828494,13.9058585586209,0
14684.6613473903,13.898658969433,0
14680.1834540062,13.8900069316167,0
14675.7053145694,13.8813754393168,0
14670.7486915101,13.8718459872694,0
14665.2741902427,13.8613503242551,0
14659.5578773122,13.8504238072511,0
14654.6033907443,13.8409803870656,0
14649.4736670031,13.8312291393376,0
14645.8847356948,13.8244226078438,0
14640.624225195,13.8144692657916,0
14634.913520229,13.8036955188202,0
14628.4624771258,13.7915642783775,0
14626.4947653947,13.7878722473434,0
14619.1569290744,13.7741382467214,0
14612.7813329194,13.7622487796791,0
14607.1051374162,13.7516976299679,0
14603.3400314165,13.7455018534778,0
14598.2776415332,13.7393160069986,0
14588.9596981874,13.7297797341676,0
14574.3117108642,13.715864327731,0
14558.9611794637,13.7015088420416,0
14546.3308154105,13.6897715106618,0
14536.1176200992,13.6802923457226,0
14525.4735583237,13.6704281086927,0
14514.8303491438,13.6605841781492,0
14503.4821209012,13.6501105077178,0
14497.9141933678,13.6449801982907,0
14485.7169130807,13.6337613249331,0
14475.6791952171,13.6245492579074,0
14464.3752460705,13.6141974116018,0
14459.7127941434,13.6099345872306,0
14446.840289105,13.5981865300101,0
14433.0502846872,13.5856357631053,0
14421.5122796516,13.5751623861578,0
14413.4395787412,13.5678497153154,0
14405.3669143748,13.5605496245303,0
14397.524132776,13.553469492964,0
14390.2478226041,13.5469114430826,0
14383.312595198,13.5406704323578,0
14375.3969606084,13.5335586851412,0
14368.8335891596,13.5276712317819,0
14361.279463565,13.5209056077996,0
14352.7954471701,13.5133206780913,0
14345.1136838308,13.5064653809558,0
14335.3014008142,13.4977260037287,0
14323.2305492365,13.4870016614072,0
14310.8534995621,13.4760359881367,0
14306.9154889073,13.4725535888861,0
14298.3736030376,13.4650108830956,0
14289.831749673,13.4574832064583,0
14281.3934698215,13.4500615966218,0
14273.2259413677,13.4428921743008,0
14268.71795602,13.4389410256362,0
14259.7196154612,13.431066861159,0
14252.3955480047,13.4246703125365,0
14243.8999443544,13.4172647089562,0
14234.6468852353,13.4092161466268,0
14230.5210338383,13.4056332061958,0
14222.0342259737,13.3982745104925,0
14213.5474453736,13.3909311601746,0
14205.2885872791,13.3837997824672,0
14197.787405631,13.3773352989719,0
14192.3246743974,13.3726351426587,0
14184.3048624829,13.3657464968008,0
14176.2409920769,13.3588339954378,0
14167.7734554352,13.3515906035092,0
14158.8512940969,13.3439751390798,0
14154.1288330982,13.3399513119514,0
14143.9287422481,13.3312767947913,0
14134.7173616617,13.3234626437615,0
14124.673226665,13.3149632406329,0
14115.9334685766,13.307585637316,0
14108.384147588,13.3012264685209,0
14100.8348434369,13.2948798853018,0
14093.0213012424,13.2883244246571,0
14084.8722465396,13.2815018723074,0
14077.7385425152,13.2755414805259,0
14068.4138007197,13.2677674672706,0
14057.0368693365,13.2583087575675,0
14044.6454268293,13.2480394321839,0
14039.5440194363,13.2438216426979,0
14030.8145423839,13.2367981698163,0
14021.4555303893,13.2297902198263,0
14010.0222434073,13.2215038624794,0
13997.3314785202,13.212419075781,0
13987.0205215208,13.2050709954365,0
13976.7058025545,13.1977392850179,0
13966.3014749053,13.1903611745934,0
13955.523684496,13.182736008948,0
13953.5101313554,13.1813134371626,0
13943.7303710029,13.1744129761445,0
13934.8048226707,13.168128154824,0
13925.270015854,13.1614279642351,0
13915.3072193809,13.1544420828157,0
13909.6823548095,13.1505047498794,0
13901.1118912609,13.1445149848406,0
13892.5414384299,13.138536645648,0
13883.4725190223,13.1322230433128,0
13874.0273553716,13.1256611192207,0
13865.8548480175,13.1199945739719,0
13855.2133933808,13.1126317463406,0
13845.9142220703,13.1062121046327,0
13835.4424282053,13.0989990999242,0
13824.1909212418,13.0912681018128,0
13822.0276029331,13.0897839343578,0
13811.7702862822,13.0827567406746,0
13801.0157691484,13.075406564722,0
13789.2939286239,13.0674158462252,0
13778.2005976603,13.0598733444513,0
13768.3490350806,13.053191249427,0
13758.4974833835,13.0465243159058,0
13748.8502218346,13.0400103159895,0
13740.0052764628,13.0340508165346,0
13734.3738121631,13.0302628381501,0
13725.4746805384,13.0242869616822,0
13715.5645959894,13.0176467469264,0
13704.7555436302,13.0104216285517,0
13693.5292060148,13.0029368411981,0
13690.5472281648,13.0009520030438,0
13678.4055643555,12.9928846515489,0
13666.0148854039,12.984675461865,0
13652.0527878566,12.9754537143954,0
13646.720829007,12.9719400141158,0
13638.2654598053,12.9663770508546,0
13629.8100968107,12.9608251571419,0
13620.5295426612,12.9547441583794,0
13610.2775879446,12.9480421224946,0
13602.8945994999,12.943225666643,0
13591.0572253856,12.9355208222959,0
13578.6072477017,12.9274405020675,0
13565.4367665397,12.9189184721256,0
13559.0685257737,12.9148074084786,0
13548.6275265766,12.9080805825047,0
13538.1865353344,12.9013704292112,0
13527.6696818251,12.8946283419605,0
13517.2735173052,12.8879801881576,0
13515.2425951475,12.8866833713478,0
13505.4689901343,12.8804513391493,0
13496.6633639106,12.874848942917,0
13486.5178144457,12.8684086129705,0
13475.5114980188,12.8614394752443,0
13471.4167960029,12.8588514003944,0
13458.7868026268,12.8508844715999,0
13447.9008019345,12.8440368956694,0
13436.7907604684,12.8370667267835,0
13427.5911176775,12.8313090824524,0
13419.8345216331,12.8264644023989,0
13412.0779290126,12.8216286979442,0
13404.0375393342,12.8166255208123,0
13395.2282366154,12.8111549127071,0
13385.5187158493,12.8051385995893,0
13383.7655503683,12.8040537730201,0
13375.0764694625,12.7986659621683,0
13365.0031835129,12.7923698862628,0
13355.2593501835,12.7862606028255,0
13345.6211939767,12.7802217270671,0
13340.6064776816,12.7770840506951,0
13332.2719871172,12.7718771298711,0
13323.938064548,12.7666809927058,0
13314.9751884559,12.7611045945911,0
13305.2562167938,12.7550717677236,0
13297.7142369088,12.7504002838543,0
13286.5300206387,12.7434889038738,0
13274.6688873858,12.7361801680957,0
13262.0966255562,12.7284567063941,0
13254.8232488537,12.7239994783585,0
13246.2837321197,12.718776597617,0
13237.7442184591,12.7135647693477,0
13229.3499466889,12.7084523281807,0
13220.5842807471,12.7031250326637,0
13211.9323418739,12.6978781850949,0
13201.9520142722,12.6918396979941,0
13192.4587860092,12.6861097468102,0
13182.6552176256,12.6802065811328,0
13172.4363429341,12.6740685459583,0
13169.0415071691,12.672032841302,0
13157.8110894517,12.6653106938276,0
13147.1299755597,12.6589345988385,0
13135.7539826816,12.6521621325185,0
13126.1507385909,12.6464597890429,0
13118.5546365109,12.6419588106027,0
13110.9585362935,12.6374662347169,0
13102.4954796287,12.6324707819096,0
13092.9726014419,12.6268621545255,0
13083.2600304055,12.62115529093,0
13072.1718207319,12.6146567289693,0
13062.5441851253,12.6090284770339,0
13053.3007705257,12.6036373014169,0
13044.5876175859,12.5985665421086,0
13040.3693772528,12.5961155447132,0
13030.847461476,12.5905921316536,0
13023.2240438434,12.5861792265577,0
13014.1589719327,12.5809424639192,0
13004.1429100438,12.5751697542546,0
12997.478774118,12.571336696716,0
12988.3339754353,12.5660869138678,0
12979.1891787684,12.5608487765204,0
12970.5520372443,12.555912082385,0
12962.1908918077,12.5511429705624,0
12954.5882163091,12.5468148538658,0
12945.5179100549,12.5416616316448,0
12937.615301631,12.5371810243622,0
12929.1360206465,12.532382951094,0
12919.8210214282,12.5271232740561,0
12911.6976994365,12.5225460947894,0
12900.7829386477,12.5164101125942,0
12891.0917167443,12.5109754401191,0
12881.6967514372,12.5057189530206,0
12872.0585802164,12.5003386754554,0
12868.807219395,12.4985264797593,0
12858.2102036279,12.4926298412706,0
12849.0543202217,12.4875471174572,0
12839.2543967904,12.4821191528204,0
12828.9843915278,12.4764444023577,0
12825.9167723467,12.4747520599483,0
12818.6974522974,12.4707741762237,0
12811.4781330642,12.4668031085393,0
12803.5224644714,12.4624348748879,0
12794.3889229896,12.4574300493622,0
12784.3947191814,12.4519659964079,0
12783.0263547045,12.4512188856072,0
12776.1845327154,12.4474869520992,0
12760.5373498843,12.4389746643483,0
12743.7269158379,12.4298644306058,0
12740.1359631112,12.4279230136904,0
12731.1291029259,12.4229958363203,0
12722.4688365954,12.4180795168057,0
12714.3557283117,12.4133943647617,0
12706.1442452213,12.4086296585309,0
12699.6583397469,12.4048653822656,0
12690.7160970332,12.399682499582,0
12682.8209252422,12.3951157766446,0
12673.8694533639,12.3899495506419,0
12664.1913220915,12.3843779366515,0
12660.1465010047,12.3820536875594,0
12649.0004417845,12.3756620457633,0
12639.2274323084,12.3700735922605,0
12629.3734379037,12.3644537305578,0
12620.6388992997,12.3594847664928,0
12613.7187075222,12.3555562411916,0
12606.7985161868,12.351635012735,0
12598.9075936419,12.3471726082418,0
12590.1038399454,12.342205109537,0
12581.1313203023,12.3371544086807,0
12570.9199113991,12.3314210336495,0
12561.1353198073,12.3259419276216,0
12551.2619775024,12.320427567377,0
12541.6237534407,12.315058456976,0
12532.5138138525,12.3099962360881,0
12520.4022299761,12.3032849345269,0
12508.387465769,12.2966484661335,0
12502.1161962194,12.2931928135856,0
12493.4585477089,12.2884315613179,0
12484.8008995163,12.2836811327032,0
12475.2450009312,12.2784503522869,0
12464.9628312246,12.272836625902,0
12462.6086461641,12.2715534413712,0
12452.2461802479,12.2659145932163,0
12443.1224657497,12.2609624283678,0
12434.1370224964,12.2560968003811,0
12424.7315354918,12.2510158780647,0
12423.1011007991,12.2501363647875,0
12415.3931042541,12.2459834336772,0
12402.8568777271,12.2392468175434,0
12389.0888392527,12.2318733604651,0
12383.5935576553,12.2289376705068,0
12374.0355062803,12.2238414488335,0
12364.4774548572,12.2187577294174,0
12354.0421939242,12.2132216541881,0
12344.0860142923,12.2079535075863,0
12336.2288211495,12.2038054563384,0
12328.3716278841,12.1996657108103,0
12319.8910476001,12.195206805824,0
12311.04815891,12.1905676356027,0
12304.5784683114,12.1871800875356,0
12294.6675823537,12.1820014803315,0
12286.6608424362,12.1778272958138,0
12277.4917619027,12.1730575014605,0
12267.6021248061,12.1679252164226,0
12265.0709173804,12.1666136841616,0
12254.0131085857,12.1608939126014,0
12244.4239005304,12.1559466264356,0
12234.7965674438,12.1509916100192,0
12225.5633592499,12.1462506329249,0
12216.7307452098,12.1417255599448,0
12208.5147827138,12.1375253340528,0
12199.089138812,12.132717242062,0
12188.9267268841,12.1275459034125,0
12186.0557917622,12.126087330361,0
12177.5095753318,12.1217515690879,0
12168.9633583467,12.1174249533101,0
12160.7766652053,12.1132888944775,0
12153.1147145173,12.1094254905848,0
12146.5482128607,12.1061202339649,0
12138.4104954889,12.1019463754417,0
12131.0960479157,12.097966486634,0
12123.4478260272,12.0936783689389,0
12115.597479097,12.0892315808479,0
12110.5226157022,12.0863525107109,0
12104.7517359147,12.0830807517159,0
12098.9833534827,12.0798148903286,0
12092.4471936084,12.0761208433928,0
12084.9746838498,12.0719065713602,0
12076.8049655415,12.067310228229,0
12075.8907546568,12.0667966115488,0
12071.3197041117,12.0642307171651,0
12063.140038969,12.0596482579788,0
12055.099076071,12.0551548210867,0
12047.4407293167,12.0508855876428,0
12041.2649704964,12.0474501955354,0
12033.6332422518,12.0432139292014,0
12025.8341450637,12.0388950427387,0
12017.3415563846,12.0342038974894,0
12008.2830246314,12.0292136064236,0
12006.6391790595,12.0283095073583,0
11999.2737514798,12.0242641799189,0
11990.5869877915,12.0195048351556,0
11981.1671990276,12.0143581285,0
11972.0133672562,12.0093708727884,0
11961.2128757962,12.0035043050341,0
11950.8110470986,11.9978724349981,0
11939.454133022,11.9917436796174,0
11937.3875332831,11.990630701133,0
11928.8412491691,11.9860354197173,0
11921.3250637001,11.9820037901442,0
11912.8391747655,11.9774629663826,0
11903.7306740194,11.9726018465214,0
11902.7616752544,11.9720854825784,0
11898.0374272669,11.9695701533192,0
11887.4845791762,11.9639643382633,0
11876.7759945123,11.9582938375993,0
11868.1357911744,11.9537317854705,0
11859.2634694857,11.949059366818,0
11850.391145915,11.9443992462264,0
11841.301272492,11.9396375564476,0
11833.5098789703,11.9355662535664,0
11824.2334503201,11.9307311675885,0
11816.0677865452,11.9264859699,0
11806.8704007687,11.9217165992684,0
11798.8839365189,11.9175856027656,0
11792.0643141759,11.9140658065493,0
11785.2446905605,11.9105530326511,0
11779.1317983647,11.9074102437925,0
11772.5883071744,11.9040522852142,0
11765.1859740864,11.9002613071469,0
11764.2579616877,11.8997866179547,0
11759.617899322,11.8974150941557,0
11750.3384969436,11.8926820023346,0
11740.8006806647,11.8878303711134,0
11729.6319523663,11.8821661499929,0
11718.6475718908,11.8766132253043,0
11707.2313429438,11.8708605947855,0
11695.0059065017,11.8647211124497,0
11682.4759691146,11.858451015105,0
11665.1057757644,11.8497958891432,0
11660.3798221057,11.8474484789076,0
11653.2592256959,11.843917593481,0
11646.1386275477,11.8403938475644,0
11639.0870624312,11.8369112756836,0
11631.7191549694,11.8332798986767,0
11625.753697335,11.8303452807323,0
11619.6805995864,11.8273219257389,0
11613.8592936028,11.8243039929862,0
11607.3184004069,11.820819968914,0
11600.1363226862,11.8169511030168,0
11593.5818546892,11.8134130573762,0
11585.3354307461,11.8089673718025,0
11578.4984686167,11.8052898226405,0
11572.0621947744,11.8018353924242,0
11566.3210915894,11.7987603998209,0
11562.3923732507,11.7966595884736,0
11556.0601082363,11.7932794173195,0
11549.5947999825,11.7898357138416,0
11542.7077099554,11.7861756431321,0
11535.5450278964,11.7823781522726,0
11531.2071398071,11.7800827692465,0
11523.4862004609,11.7760055587749,0
11513.0039611805,11.7704871349515,0
11500.0218677317,11.7636795572457,0
11493.4336028382,11.7602361143108,0
11486.8453357599,11.7568002587763,0
11479.5944685688,11.7530275885534,0
11471.7647888581,11.7489640004824,0
11468.836547281,11.747446972373,0
11459.9039432847,11.7428284028765,0
11450.9445015721,11.738209712726,0
11441.3571648273,11.7332825173774,0
11437.6511769137,11.7313820975598,0
11431.6682913208,11.7283190028618,0
11425.685403824,11.7252619556625,0
11419.9058210783,11.7223145151452,0
11413.8014154957,11.7192075125426,0
11406.4657551213,11.7154820761018,0
11399.0143750505,11.7117070522196,0
11391.6990357199,11.7080099142794,0
11384.4475048397,11.7043537560876,0
11377.212065965,11.700714341063,0
11375.2802803403,11.6997441093792,0
11369.2496153273,11.6967191623913,0
11363.2189482618,11.6937001532751,0
11356.8017627519,11.6904941495171,0
11349.8911936844,11.6870491214091,0
11344.094750983,11.6841654547578,0
11336.1636172023,11.6802285675736,0
11321.741394753,11.6730954292979,0
11312.9091654547,11.668743422958,0
11307.0398444618,11.665858200487,0
11301.1705214103,11.6629784148428,0
11295.1349342519,11.6600227044851,0
11288.3463296606,11.6567050569927,0
11281.7235221995,11.6534753755557,0
11273.7227736445,11.6495828325164,0
11267.1911827457,11.6464124266398,0
11261.1169656945,11.6434699424643,0
11254.7788668586,11.6404056839922,0
11250.5378196822,11.6383587230698,0
11243.6615279392,11.6350456976445,0
11237.783552523,11.6322193829228,0
11231.435899211,11.6291731307195,0
11224.5192018461,11.6258607421818,0
11219.3520564476,11.6233909231712,0
11211.2340922561,11.6195187683785,0
11203.3360919998,11.6157610113465,0
11194.7232463887,11.6116737489603,0
11188.1662311154,11.6085694787206,0
11180.3845717714,11.6048936829408,0
