SNO,SNH,fallo
9.1948,0.1585,0
9.1948,0.1585,0
9.1948,0.1585,0
9.1948,0.1585,0
9.1948,0.1585,0
9.1948,0.1585,0
9.1948,0.1585,0
9.1948,0.1585,0
9.1948,0.1585,0
9.1948,0.1585,0
9.1948,0.1585,0
9.1948,0.1585,0
9.1948,0.1585,0
9.1948,0.1585,0
9.1948,0.1585,0
9.1948,0.1585,0
9.1948,0.1585,0
9.1948,0.1585,0
9.1948,0.1585,0
9.1948,0.1585,0
9.1948,0.1585,0
9.1948,0.1585,0
9.1948,0.1585,0
9.19479999999999,0.1585,0
9.19479999999997,0.158500000000001,0
9.19479999999994,0.158500000000002,0
9.19479999999989,0.158500000000003,0
9.19479999999981,0.158500000000006,0
9.19479999999968,0.15850000000001,0
9.19479999999947,0.158500000000017,0
9.19479999999913,0.158500000000028,0
9.19479999999857,0.158500000000046,0
9.19479999999767,0.158500000000075,0
9.19479999999615,0.158500000000125,0
9.19479999999345,0.158500000000213,0
9.19479999998887,0.158500000000363,0
9.19479999998048,0.158500000000639,0
9.19479999996455,0.158500000001168,0
9.1947999999345,0.158500000002174,0
9.19479999987806,0.158500000004084,0
9.19479999983854,0.158500000005434,0
9.19479999969489,0.158500000010402,0
9.19479999946343,0.158500000018549,0
9.19479999905903,0.158500000033075,0
9.19479999889154,0.158500000039175,0
9.19479999797557,0.158500000073185,0
9.19479999673338,0.158500000120616,0
9.19479999561522,0.158500000164272,0
9.19479999355365,0.158500000246603,0
9.19479999112456,0.158500000346037,0
9.19479998809942,0.158500000472778,0
9.19479998726074,0.158500000508403,0
9.19479998293664,0.158500000694955,0
9.19479997835351,0.158500000897188,0
9.19479997276636,0.15850000114892,0
9.19479996961978,0.158500001292868,0
9.19479996386849,0.158500001559532,0
9.19479995729654,0.158500001869245,0
9.19479995021591,0.158500002208168,0
9.19479994362713,0.158500002527882,0
9.19479993684155,0.158500002861076,0
9.19479992914062,0.158500003243601,0
9.19479992072516,0.15850000366647,0
9.19479991136749,0.158500004142091,0
9.19479989952548,0.158500004751375,0
9.19479988526361,0.158500005495015,0
9.19479988131128,0.15850000570285,0
9.1947998627484,0.158500006688263,0
9.19479984507603,0.158500007639388,0
9.19479982812368,0.158500008562418,0
9.19479980882041,0.158500009624936,0
9.19479979358663,0.158500010471359,0
9.19479976585745,0.158500012028292,0
9.19479973720641,0.15850001365687,0
9.19479970548297,0.158500015481115,0
9.19479967157724,0.158500017452714,0
9.19479966238817,0.158500017990636,0
9.19479962404493,0.158500020250413,0
9.19479957644825,0.158500023086744,0
9.1947995156992,0.158500026751079,0
9.19479947463902,0.158500029252757,0
9.19479942170037,0.158500032504709,0
9.19479936476714,0.158500036032217,0
9.19479929685563,0.158500040276542,0
9.19479921554875,0.158500045404589,0
9.19479912319279,0.158500051283603,0
9.19479903664324,0.158500056838922,0
9.19479894033908,0.158500063066354,0
9.19479886873579,0.158500067724644,0
9.19479875722233,0.158500075021964,0
9.19479862694616,0.15850008360532,0
9.19479846764138,0.158500094174865,0
9.19479841638326,0.158500097590999,0
9.19479821376119,0.158500111158211,0
9.19479802239338,0.158500124052307,0
9.19479783942258,0.158500136441527,0
9.19479772595915,0.158500144150006,0
9.19479760810352,0.158500152175231,0
9.19479741724364,0.158500165206471,0
9.19479711802279,0.158500185708391,0
9.19479678225592,0.158500208795289,0
